adress,bond,name,rssi,time,type
6B:96:82:95:EF:FE,10,NA,-89,1544787539702,2
74:28:FA:4C:01:5B,10,NA,-91,1544787539897,2
F0:18:98:0B:E3:39,10,NA,-82,1544787539980,2
6B:96:82:95:EF:FE,10,NA,-84,1544787540064,2
D0:03:4B:27:B7:33,10,NA,-77,1544787540136,3
EC:91:28:A9:C9:09,10,NA,-97,1544787540193,2
F0:18:98:0B:E3:39,10,NA,-85,1544787540344,2
57:47:04:AD:A5:FB,10,NA,-86,1544787540405,2
D0:03:4B:27:B7:33,10,NA,-85,1544787540664,3
66:F7:83:15:6B:6E,10,NA,-83,1544787541073,2
78:4F:43:9A:52:DD,10,Jun의 MacBook Pro,-87,1544787542409,3
0C:A6:94:1D:DC:4F,10,HK Nova,-81,1544787546008,1
01:65:E5:16:F8:E3,10,NA,-75,1544787546531,2
77:03:6D:A6:17:BD,10,NA,-87,1544787546804,2
EC:2A:B9:6B:46:0B,10,NA,-96,1544787547002,2
77:03:6D:A6:17:BD,10,NA,-88,1544787547083,2
57:47:04:AD:A5:FB,10,NA,-81,1544787547342,2
57:47:04:AD:A5:FB,10,NA,-83,1544787547594,2
EC:96:D6:EC:F2:13,10,NA,-96,1544787547835,2
62:D2:44:AC:6E:CA,10,NA,-88,1544787549020,2
